frame_id,sample_arrival_ms,sample_send_ms,acked_bitrate_bps,offset,threshold,usage,target_bitrate_bps
269,21095182,21095182,28616000,0.019139,6.000000,normal,30226682
270,21095215,21095215,28694400,0.000541,6.000000,normal,30226682
271,21095249,21095248,28772800,0.000531,6.000000,normal,30226682
272,21095282,21095282,28851200,0.018881,6.000000,normal,30226682
273,21095315,21095315,28929600,0.000139,6.000000,normal,30226682
274,21095349,21095348,28996800,0.000136,6.000000,normal,30226682
275,21095382,21095382,29075200,0.018642,6.000000,normal,30226682
276,21095415,21095415,29153600,-0.000247,6.000000,normal,30226682
277,21095449,21095448,29232000,-0.000243,6.000000,normal,30226682
278,21095482,21095482,29310400,0.018420,6.000000,normal,30226682
279,21095515,21095515,29388800,-0.000618,6.000000,normal,30226682
280,21095549,21095548,29467200,-0.000606,6.000000,normal,30226682
281,21095582,21095582,29512000,0.018216,6.000000,normal,30226682
282,21095615,21095615,29545600,-0.000974,6.000000,normal,31492369
283,21095649,21095648,29590400,-0.000956,6.000000,normal,31492369
284,21095682,21095682,29680000,0.010972,6.000000,normal,31492369
285,21095715,21095715,29747200,-0.010084,6.000000,normal,31492369
286,21095749,21095748,29836800,-0.010274,6.000000,normal,31492369
287,21095782,21095782,29926400,0.009244,6.000000,normal,31492369
288,21095815,21095815,30004800,-0.010286,6.000000,normal,31492369
289,21095849,21095848,30083200,-0.009624,6.000000,normal,31492369
290,21095882,21095882,30172800,0.007722,6.000000,normal,31492369
291,21095915,21095915,30251200,-0.011919,6.000000,normal,31492369
292,21095949,21095948,30329600,-0.011034,6.000000,normal,31492369
293,21095982,21095982,30419200,0.006420,6.000000,normal,31492369
294,21096015,21096015,30497600,-0.013342,6.000000,normal,31492369
295,21096048,21096048,30912000,-0.013079,6.000000,normal,31492369
296,21096082,21096082,30654400,0.009252,6.000000,normal,31492369
297,21096115,21096115,30710400,-0.009472,6.000000,normal,31492369
298,21096149,21096148,30755200,-0.009284,6.000000,normal,32811054
299,21096182,21096182,30800000,0.010797,6.000000,normal,32811054
